#! FIELDS time cv2 metad.bias metad.work
#! SET min_cv2 -pi
#! SET max_cv2 pi
 144.000000 -1.665956 6.218805 7.149953
 145.000000 -1.749701 6.313654 7.199953
 146.000000 -1.693610 6.364044 7.249953
 147.000000 -1.829439 6.193071 7.299952
 148.000000 -1.809691 6.320489 7.349952
 149.000000 -2.110041 4.038074 7.399952
 150.000000 -1.461249 5.250510 7.449952
 151.000000 -1.663870 6.517478 7.499952
 152.000000 -1.496256 5.640725 7.549952
 153.000000 -1.270413 3.511362 7.599951
 154.000000 -1.486811 5.654270 7.649951
 155.000000 -1.959870 5.597607 7.699950
 156.000000 -1.542645 6.149742 7.749950
 157.000000 -1.641685 6.703716 7.799950
 158.000000 -1.422172 5.230135 7.849950
 159.000000 -1.273968 3.757555 7.899949
 160.000000 -1.718242 6.932384 7.949949
 161.000000 -1.911922 6.167508 7.999948
 162.000000 -1.427351 5.430111 8.049948
 163.000000 -1.555025 6.534320 8.099947
 164.000000 -1.445730 5.703291 8.149947
 165.000000 -1.753265 7.101758 8.199946
 166.000000 -1.479534 6.096307 8.249946
 167.000000 -1.685284 7.222154 8.299946
 168.000000 -1.333249 4.702439 8.349946
 169.000000 -1.644153 7.225171 8.399946
 170.000000 -1.409893 5.609167 8.449945
 171.000000 -1.385548 5.404259 8.499945
 172.000000 -1.605968 7.220819 8.549945
 173.000000 -1.632355 7.368925 8.599945
 174.000000 -1.747135 7.476318 8.649944
 175.000000 -1.330289 4.947274 8.699944
 176.000000 -1.295595 4.601617 8.749944
 177.000000 -1.636045 7.543047 8.799943
 178.000000 -1.535640 7.088891 8.849943
 179.000000 -1.285704 4.607631 8.899943
 180.000000 -1.525099 7.102223 8.949942
 181.000000 -1.825394 7.382393 8.999942
 182.000000 -1.255769 4.362072 9.049942
 183.000000 -1.389067 5.947813 9.099942
 184.000000 -2.004919 5.829699 9.149942
 185.000000 -1.454006 6.681538 9.199941
 186.000000 -1.412553 6.311602 9.249941
 187.000000 -1.429891 6.542043 9.299941
 188.000000 -1.708625 8.035292 9.349940
 189.000000 -1.390824 6.209638 9.399940
 190.000000 -1.388609 6.235003 9.449940
 191.000000 -1.450760 6.936384 9.499940
 192.000000 -1.220067 4.321117 9.549939
 193.000000 -1.589431 8.025775 9.599939
 194.000000 -0.956041 1.727089 9.649938
 195.000000 -1.170815 3.856721 9.699938
 196.000000 -1.197371 4.216790 9.749938
 197.000000 -1.335355 5.922297 9.799937
 198.000000 -1.414098 6.849988 9.849937
 199.000000 -1.851347 7.632766 9.899937
 200.000000 -1.290995 5.503650 9.949936
 201.000000 -1.305005 5.723888 9.999936
 202.000000 -1.134645 3.721788 10.049935
 203.000000 -1.049621 2.860690 10.099935
 204.000000 -1.383893 6.764180 10.149935
 205.000000 -1.313127 6.002528 10.199935
 206.000000 -1.306512 5.973422 10.249934
 207.000000 -1.330643 6.309715 10.299934
 208.000000 -1.281245 5.767514 10.349934
 209.000000 -1.295492 5.990504 10.399934
 210.000000 -1.746153 8.507987 10.449933
 211.000000 -1.728240 8.627150 10.499933
 212.000000 -1.939373 7.014349 10.549933
 213.000000 -1.538518 8.470529 10.599932
 214.000000 -1.583426 8.735798 10.649932
 215.000000 -1.962706 6.844272 10.699932
 216.000000 -1.943488 7.122241 10.749932
 217.000000 -2.373764 2.058594 10.799932
 218.000000 -2.273174 3.089741 10.849932
 219.000000 -2.655761 0.564791 10.899931
 220.000000 -2.187591 4.156441 10.949931
 221.000000 -2.106329 5.235288 10.999930
 222.000000 -1.244136 5.539527 11.049930
 223.000000 -2.256726 3.442518 11.099930
 224.000000 -1.669271 9.093058 11.149930
 225.000000 -1.815842 8.597878 11.199929
 226.000000 -1.829802 8.544645 11.249929
 227.000000 -2.501773 1.398414 11.299929
 228.000000 -2.093218 5.626055 11.349929
 229.000000 -1.848010 8.495934 11.399929
 230.000000 -2.216976 4.130159 11.449928
 231.000000 -1.974033 7.279021 11.499928
 232.000000 -2.409877 2.210453 11.549928
 233.000000 -1.831379 8.764223 11.599927
 234.000000 -1.706825 9.382701 11.649927
 235.000000 -1.473828 8.449167 11.699926
 236.000000 -1.563580 9.176473 11.749926
 237.000000 -1.618590 9.462135 11.799926
 238.000000 -1.542585 9.147390 11.849925
 239.000000 -1.685430 9.637341 11.899925
 240.000000 -1.639952 9.660417 11.949925
 241.000000 -1.531137 9.211878 11.999924
 242.000000 -1.816162 9.245371 12.049924
 243.000000 -1.892967 8.608884 12.099924
 244.000000 -2.183115 4.877673 12.149924
 245.000000 -2.010971 7.278906 12.199924
 246.000000 -2.107450 6.007525 12.249924
