#! FIELDS time cv2 metad.bias metad.work
#! SET min_cv2 -pi
#! SET max_cv2 pi
 144.000000 -1.952279 5.183493 7.149955
 145.000000 -2.131196 3.790792 7.199955
 146.000000 -2.041912 4.603082 7.249955
 147.000000 -2.107578 4.095893 7.299954
 148.000000 -1.818363 6.025113 7.349954
 149.000000 -1.858624 5.932063 7.399954
 150.000000 -1.908407 5.737073 7.449953
 151.000000 -1.948108 5.543254 7.499953
 152.000000 -2.116091 4.231038 7.549953
 153.000000 -1.938009 5.702924 7.599952
 154.000000 -1.232146 3.017026 7.649952
 155.000000 -2.150186 4.013678 7.699952
 156.000000 -1.282957 3.534176 7.749951
 157.000000 -2.003266 5.347004 7.799951
 158.000000 -2.371125 2.172059 7.849950
 159.000000 -1.989416 5.530371 7.899950
 160.000000 -1.465580 5.262257 7.949950
 161.000000 -1.910688 6.113380 7.999950
 162.000000 -1.484189 5.486164 8.049949
 163.000000 -2.230452 3.495083 8.099949
 164.000000 -2.039414 5.303047 8.149949
 165.000000 -2.009436 5.597918 8.199949
 166.000000 -2.391929 2.217461 8.249948
 167.000000 -2.224325 3.731757 8.299948
 168.000000 -1.990044 5.863049 8.349948
 169.000000 -2.108180 4.921273 8.399947
 170.000000 -2.091444 5.123732 8.449947
 171.000000 -2.162152 4.513330 8.499947
 172.000000 -2.263926 3.586446 8.549947
 173.000000 -1.976070 6.186297 8.599946
 174.000000 -2.160588 4.669667 8.649946
 175.000000 -2.091206 5.365521 8.699946
 176.000000 -1.825552 6.991425 8.749946
 177.000000 -1.966164 6.437979 8.799946
 178.000000 -2.080868 5.592927 8.849945
 179.000000 -1.838558 7.099533 8.899945
 180.000000 -1.835537 7.156192 8.949945
 181.000000 -1.733095 7.229018 8.999944
 182.000000 -2.111917 5.460287 9.049944
 183.000000 -2.148925 5.147339 9.099944
 184.000000 -2.304758 3.609122 9.149943
 185.000000 -2.027890 6.344302 9.199943
 186.000000 -1.680210 7.220967 9.249943
 187.000000 -2.442201 2.420591 9.299943
 188.000000 -2.118762 5.641276 9.349943
 189.000000 -2.106564 5.807827 9.399943
 190.000000 -1.985688 6.858479 9.449943
 191.000000 -1.951529 7.124022 9.499942
 192.000000 -2.126506 5.756407 9.549942
 193.000000 -1.823211 7.661287 9.599941
 194.000000 -2.384634 3.154191 9.649941
 195.000000 -2.192414 5.204410 9.699941
 196.000000 -2.090703 6.270191 9.749941
 197.000000 -2.024653 6.884329 9.799941
 198.000000 -2.252111 4.705225 9.849941
 199.000000 -2.165819 5.674866 9.899940
 200.000000 -2.080009 6.560220 9.949940
 201.000000 -2.395146 3.327633 9.999940
 202.000000 -2.017702 7.150368 10.049940
 203.000000 -1.676738 7.619356 10.099939
 204.000000 -2.107672 6.461742 10.149939
 205.000000 -1.878624 7.984063 10.199939
 206.000000 -2.067256 6.924265 10.249939
 207.000000 -1.547827 6.800737 10.299939
 208.000000 -1.828473 8.186989 10.349938
 209.000000 -1.821937 8.239628 10.399938
 210.000000 -1.914974 8.087411 10.449938
 211.000000 -2.301676 4.581150 10.499937
 212.000000 -1.769584 8.308482 10.549937
 213.000000 -2.280742 4.888160 10.599937
 214.000000 -2.178924 6.099232 10.649936
 215.000000 -2.241772 5.437189 10.699936
 216.000000 -1.917893 8.298246 10.749936
 217.000000 -1.698613 8.201364 10.799936
